Reference,Connector pin,CM5 pin,Signal
J2,87,187,MIPI1_C_N
J2,88,188,HDMI0_CLK_P
J2,89,189,MIPI1_C_P
J2,90,190,HDMI0_CLK_N
J2,91,191,GND
J2,92,192,GND
J2,93,193,MIPI1_D2_N
J2,94,194,MIPI1_D3_N
J2,95,195,MIPI1_D2_P
J2,96,196,MIPI1_D3_P
J2,97,197,GND
J2,98,198,GND
J2,99,199,HDMI0_SDA
J2,100,200,HDMI0_SCL
